COUNTRY,WHO_REGION,TOTAL_VACCINATIONS_PER100
Afghanistan,EMRO,6.083
Albania,EURO,57.877
Algeria,AFRO,22.781
American Samoa,WPRO,105.491
Andorra,EURO,120.922
Angola,AFRO,8.581
Anguilla,AMRO,123.75
Antigua and Barbuda,AMRO,83.017
Argentina,AMRO,96.682
Armenia,EURO,12.378
Aruba,AMRO,143.933
Australia,WPRO,88.9
Austria,EURO,120.772
Azerbaijan,EURO,79.33
Bahamas,AMRO,44.026
Bahrain,EMRO,149.498
Bangladesh,SEARO,23.335
Barbados,AMRO,76.545
Belarus,EURO,33.934
Belgium,EURO,143.2
Belize,AMRO,68.089
Benin,AFRO,1.768
Bermuda,AMRO,138.413
Bhutan,SEARO,138.466
Bolivia,AMRO,54.516
Bonaire,AMRO,139.876
BonaireSint Eustatius and Saba,AMRO,28.441
Bosnia and Herzegovina,EURO,32.313
Botswana,AFRO,16.146
Brazil,AMRO,97.789
British Virgin Islands,AMRO,104.852
Brunei Darussalam,WPRO,84.641
Bulgaria,EURO,35.694
Burkina Faso,AFRO,1.218
Cabo Verde,AFRO,72.317
Cambodia,WPRO,122.941
Cameroon,AFRO,1.731
Canada,AMRO,145.215
Cayman Islands,AMRO,159.174
Central African Republic,AFRO,3.844
Chad,AFRO,0.749
Chile,AMRO,160.456
China,WPRO,145.714
Colombia,AMRO,74.687
Comoros,AFRO,38.738
Republic of Congo,AFRO,3.915
Cook Islands,WPRO,123.895
Costa Rica,AMRO,95.641
Côte d’Ivoire,AFRO,6.668
Croatia,EURO,83.303
Cuba,AMRO,151.932
Curaçao,AMRO,112.824
Cyprus,EURO,128.581
Czechia,EURO,109.758
Democratic Republic of the Congo,AFRO,0.151
Denmark,EURO,150.177
Djibouti,EMRO,6.681
Dominica,AMRO,61.078
Dominican Republic,AMRO,106.801
Ecuador,AMRO,115.173
Egypt,EMRO,12.669
El Salvador,AMRO,108.127
Equatorial Guinea,AFRO,27.216
Estonia,EURO,100.981
Eswatini,AFRO,20.648
Ethiopia,AFRO,2.854
Falkland Islands (Malvinas),AMRO,126.529
Faroe Islands,EURO,150.218
Fiji,WPRO,101.205
Finland,EURO,134.119
France,EURO,141.856
French Guiana,AMRO,46.763
French Polynesia,WPRO,83.859
