,AFRO,AMRO,EMRO,EURO,OTHER,SEARO,WPRO
Pfizer BioNTech - Comirnaty,4,39,18,5,0,6,22
Janssen - Ad26.COV 2.5,3,15,16,24,0,5,14
SII - Covishield,39,22,10,0,0,9,7
AstraZeneca - AZD1222,1,1,0,13,0,0,0
Gamaleya - Sputnik V,5,11,15,0,0,5,5
Moderna - mRNA-1273,3,17,9,14,1,7,15
CanSino - Ad5-nCOV,0,4,1,0,0,0,2
Bharat - Covaxin,5,1,2,0,0,2,1
Beijing CNBG - Inactivated,0,0,0,2,0,0,0
QazVac,0,0,0,1,0,0,0
Sinopharm/HayatVax,0,0,0,1,0,0,0
AstraZeneca - Vaxzevria,1,36,15,1,0,8,23
ZF2001,0,0,0,1,0,0,0
Wuhan CNBG - Inactivated,0,2,0,0,0,0,1
