COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,AstraZeneca - AZD1222,Gamaleya - Sputnik V,Moderna - mRNA-1273,CanSino - Ad5-nCOV,Bharat - Covaxin,Beijing CNBG - Inactivated,QazVac, Sinopharm/HayatVax,AstraZeneca - Vaxzevria, ZF2001,Wuhan CNBG - Inactivated,,VACCINES_USED,,,,,,,,
Afghanistan,AFG,EMRO,REPORTING,16-09-21,2367948,956131,6.083,2.456,1411817,3.627,22-02-21,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,
Albania,ALB,EURO,OWID,16-09-21,1632986,911372,56.744,31.669,721614,25.075,,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V,,,,,
Algeria,DZA,AFRO,REPORTING,12-09-21,9989662,5815039,22.781,13.261,4174623,9.52,30-01-21,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield,,,,,,
American Samoa,ASM,WPRO,REPORTING,14-09-21,58228,32223,105.491,58.378,26551,48.102,21-12-20,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,,,
Andorra,AND,EURO,OWID,29-08-21,93430,51599,120.922,66.782,41831,54.14,,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,,,
Angola,AGO,AFRO,REPORTING,19-09-21,2820134,1836547,8.581,5.588,983587,2.993,10-03-21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,SII - Covishield,,,,,,,,
Anguilla,AIA,AMRO,REPORTING,17-09-21,18565,9498,123.75,63.312,9067,60.439,05-02-21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,,,,,,,,
Antigua and Barbuda,ATG,AMRO,REPORTING,17-09-21,81298,44734,83.017,45.68,36564,37.337,19-02-21,6,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,,,
Argentina,ARG,AMRO,REPORTING,03-09-21,43696315,28183966,96.682,62.36,15512349,34.323,29-12-20,7,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,,
Armenia,ARM,EURO,OWID,12-09-21,335721,215278,11.33,7.265,120443,4.065,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AstraZeneca - AZD1222, Sinovac - CoronaVac, Gamaleya - Sputnik V,,,,,,
